abbr,lon,lat,state,id
AK,-152.6871729,65.33431076,Alaska,2
AL,-86.76992225,32.63330898,Alabama,1
AR,-92.236676,35.0732061,Arkansas,5
AZ,-111.4947231,34.0003639,Arizona,4
CA,-120.0946519,36.98096231,California,6
CO,-105.6264691,39.19933508,Colorado,8
CT,-72.70859702,41.55935152,Connecticut,9
DE,-75.54971961,39.24735872,Delaware,10
FL,-81.99087212,28.19851121,Florida,12
GA,-83.45712495,32.6948752,Georgia,13
HI,-157.2086999,20.98874576,Hawaii,15
IA,-93.43162288,41.94750209,Iowa,19
ID,-114.9426578,44.58138512,Idaho,16
IL,-88.95566876,40.26787428,Illinois,17
IN,-86.19105122,40.1633986,Indiana,18
KS,-98.08560159,38.42146235,Kansas,20
KY,-85.49268128,37.51944462,Kentucky,21
LA,-92.05054183,31.18916971,Louisiana,22
MA,-71.55575236,42.1798975,Massachusetts,25
MD,-76.81425542,38.97602171,Maryland,24
ME,-69.25283734,44.84531507,Maine,23
MI,-84.88541961,43.67083025,Michigan,26
MN,-94.22007026,45.6859403,Minnesota,27
MO,-92.32851702,38.27735146,Missouri,29
MS,-89.54541929,32.87465806,Mississippi,28
MT,-110.1561223,47.0749357,Montana,30
NC,-79.10223033,35.49967047,North Carolina,37
ND,-99.87728715,47.53318374,North Dakota,38
NE,-98.79016149,41.27923812,Nebraska,31
NH,-71.65968883,43.40460397,New Hampshire,33
NJ,-74.63439848,40.21945002,New Jersey,34
NM,-105.9641391,34.43756761,New Mexico,35
NV,-116.7215876,38.6258707,Nevada,32
NY,-75.35484467,42.48277663,New York,36
OH,-82.88624562,40.39667963,Ohio,39
OK,-97.3002328,35.52994365,Oklahoma,40
OR,-121.8863932,44.34036466,Oregon,41
PA,-77.75397076,40.69615224,Pennsylvania,42
RI,-71.49908653,41.54868176,Rhode Island,44
SC,-80.74432706,33.91439857,South Carolina,45
SD,-99.72353599,44.29870337,South Dakota,46
TN,-86.44272393,35.81548238,Tennessee,47
TX,-98.13369455,31.48480704,Texas,48
UT,-111.5735908,39.2540654,Utah,49
VA,-78.43496725,37.51845036,Virginia,51
VT,-72.75660342,44.07502047,Vermont,50
WA,-120.9704813,47.46824247,Washington,53
WI,-89.70765832,44.34315651,Wisconsin,55
WV,-80.83515037,38.67690177,West Virginia,54
WY,-107.6590035,42.86022637,Wyoming,56
